전철역코드,전철역명,X좌표,Y좌표
2711,장암,3170,450
547,천호,3178,1953
2713,수락산,2990,490
2714,마들,3025,530
2622,망원,1141,1789
2624,상수,1296,1944
1285,임진강,150,400
1286,운천,230,400
1284,문산,310,400
1283,파주,370,400
1282,월롱,440,400
1280,금촌,510,400
1279,금릉,590,400
1278,운정,650,400
1277,야당,735,400
1276,탄현,810,400
1275,일산,835,470
1275,일산,835,470
1274,풍산,835,540
1273,백마,835,620
1272,곡산,835,700
1953,대곡,835,770
1271,능곡,835,900
1270,행신,835,1000
1728,천안,1010,3902
1809,주안,373,2800
1722,서정리,1520,3902
1404,탕정,670,3902
1407,온양온천,500,3902
1402,쌍용,840,3902
1724,평택,1350,3902
1725,성환,1265,3902
1408,신창,415,3902
1723,평택지제,1435,3902
1401,봉명,925,3902
1403,아산,755,3902
1405,배방,585,3902
1721,송탄,1600,3902
1720,진위,1650,3890
1719,오산,1690,3850
1718,오산대,1725,3810
1717,세마,1765,3775
1749,서동탄,1930,3735
1716,병점,1805,3730
1715,세류,1860,3680
1727,두정,1095,3902
1821,온수,1005,2580
1726,직산,1180,3902
312,불광,1590,770
318,안국,1876,1040
333,매봉,2505,3015
322,동대입구,2180,1625
335,대치,2655,3015
336,학여울,2735,3015
325,옥수,2290,2005
326,압구정,2293,2190
341,경찰병원,3150,2800
328,잠원,2293,2370
337,대청,2815,3015
342,오금,3227,2712
1954,백석,730,770
329,고속터미널,2270,2490
331,남부터미널,2335,3015
338,일원,2885,3015
340,가락시장,3090,2860
309,지축,1240,770
310,구파발,1315,770
311,연신내,1430,770
313,녹번,1665,790
314,홍제,1720,850
315,무악재,1750,880
316,독립문,1800,925
317,경복궁,1850,990
324,금호,2290,1885
323,약수,2290,1745
1951,원당,1022,770
1956,정발산,580,770
1955,마두,655,770
1948,원흥,1095,770
1950,삼송,1167,770
1952,화정,950,770
428,삼각지,2000,1980
2515,마곡,642,1752
2511,방화,605,1270
2545,군자,3075,1500
2538,청구,2377,1500
2514,송정,607,1640
2530,공덕,1584,1960
2512,개화산,607,1328
2527,여의도,1585,2275
2523,양평,3883,1335
2518,화곡,850,1963
2513,김포공항,607,1455
2517,우장산,777,1890
2516,발산,703,1814
2556,올림픽공원,3190,2480
2633,버티고개,2190,1845
2647,화랑대,3220,875
2631,이태원,2100,1935
2644,돌곶이,2740,870
2617,새절,1285,1075
2612,역촌,1540,810
2616,구산,1465,810
2618,증산,1170,1190
2632,한강진,2140,1895
2630,녹사평,2067,1965
2628,효창공원앞,1740,1990
2639,보문,2440,1030
2640,안암,2480,1000
2641,고려대,2525,960
2621,마포구청,1080,1725
2611,응암,1505,850
2646,태릉입구,3075,860
2648,봉화산,3268,925
2642,월곡,2570,910
2643,상월곡,2660,870
2614,독바위,1508,700
2620,월드컵경기장,1060,1620
2619,디지털미디어시티,1060,1490
2626,대흥,1492,1990
2625,광흥창,1400,1990
2716,중계,3075,665
2720,먹골,3075,935
2721,중화,3075,980
2723,면목,3075,1220
2726,중곡,3075,1425
2728,어린이대공원,3020,1760
2730,자양,2800,2010
2731,청담,2695,2095
2717,하계,3075,720
2718,공릉,3075,780
2737,내방,2167,2620
2739,남성,1940,2675
